  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.15378E+04    0.56674E+04   279   373     2
    0.15595E+04    0.57460E+04   280   374     2
    0.15815E+04    0.58258E+04   281   375     2
    0.16038E+04    0.59067E+04   282   376     2
    0.16264E+04    0.59887E+04   283   377     2
    0.16493E+04    0.60718E+04   284   378     2
    0.16726E+04    0.62415E+04   285   380     2
    0.16961E+04    0.63281E+04   286   381     2
    0.17200E+04    0.64159E+04   287   382     2
    0.17442E+04    0.65049E+04   288   383     2
    0.17687E+04    0.65951E+04   289   384     2
    0.17936E+04    0.66866E+04   290   385     2
    0.18189E+04    0.67794E+04   291   386     2
    0.18444E+04    0.68734E+04   292   387     2
    0.18704E+04    0.69687E+04   293   388     2
    0.18966E+04    0.70654E+04   294   389     2
    0.19233E+04    0.71634E+04   295   390     2
    0.19503E+04    0.72627E+04   296   391     2
    0.19777E+04    0.73634E+04   297   392     2
    0.20055E+04    0.74655E+04   298   393     2
    0.20336E+04    0.75690E+04   299   394     2
    0.20621E+04    0.76739E+04   300   395     2
    0.20911E+04    0.77803E+04   301   396     2
    0.21204E+04    0.78881E+04   302   397     2
    0.21501E+04    0.79974E+04   303   398     2
    0.21803E+04    0.81083E+04   304   399     2
    0.22108E+04    0.82206E+04   305   400     2
    0.22418E+04    0.83346E+04   306   401     2
    0.22732E+04    0.84500E+04   307   402     2
    0.23051E+04    0.85671E+04   308   403     2
    0.23374E+04    0.86858E+04   309   404     2
    0.23701E+04    0.88062E+04   310   405     2
    0.24033E+04    0.89282E+04   311   406     2
    0.24369E+04    0.90518E+04   312   407     2
    0.24710E+04    0.91772E+04   313   408     2
    0.25056E+04    0.93044E+04   314   409     2
    0.25406E+04    0.94332E+04   315   410     2
    0.25762E+04    0.95639E+04   316   411     2
    0.26122E+04    0.96963E+04   317   412     2
    0.26487E+04    0.98306E+04   318   413     2
    0.26858E+04    0.99668E+04   319   414     2
    0.27233E+04    0.10105E+05   320   415     2
    0.27613E+04    0.10245E+05   321   416     2
    0.27999E+04    0.10387E+05   322   417     2
    0.28390E+04    0.10530E+05   323   418     2
    0.28787E+04    0.10676E+05   324   419     2
    0.29189E+04    0.10824E+05   325   420     2
    0.29596E+04    0.10974E+05   326   421     2
    0.30010E+04    0.11126E+05   327   422     2
    0.30428E+04    0.11280E+05   328   423     2
    0.30853E+04    0.11436E+05   329   424     2
    0.31284E+04    0.11594E+05   330   425     2
    0.31720E+04    0.11755E+05   331   426     2
    0.32163E+04    0.12082E+05   332   428     2
    0.32611E+04    0.12249E+05   333   429     2
    0.33066E+04    0.12419E+05   334   430     2
    0.33527E+04    0.12591E+05   335   431     2
    0.33994E+04    0.12765E+05   336   432     2
    0.34468E+04    0.12942E+05   337   433     2
    0.34949E+04    0.13121E+05   338   434     2
    0.35436E+04    0.13302E+05   339   435     2
    0.35929E+04    0.13486E+05   340   436     2
    0.36430E+04    0.13673E+05   341   437     2
    0.36937E+04    0.13862E+05   342   438     2
    0.37452E+04    0.14054E+05   343   439     2
    0.37973E+04    0.14248E+05   344   440     2
    0.38502E+04    0.14445E+05   345   441     2
    0.39038E+04    0.14645E+05   346   442     2
    0.39582E+04    0.14848E+05   347   443     2
    0.40133E+04    0.15053E+05   348   444     2
    0.40691E+04    0.15053E+05   349   444     3
    0.41258E+04    0.15053E+05   350   444     3
    0.41832E+04    0.15053E+05   351   444     3
    0.42414E+04    0.15053E+05   352   444     3
    0.43004E+04    0.15053E+05   353   444     3
    0.43602E+04    0.15053E+05   354   444     3
    0.44208E+04    0.15053E+05   355   444     3
    0.44823E+04    0.15053E+05   356   444     3
    0.45446E+04    0.15053E+05   357   444     3
    0.46078E+04    0.15053E+05   358   444     3
    0.46719E+04    0.15053E+05   359   444     3
    0.47368E+04    0.15053E+05   360   444     3
    0.48027E+04    0.15053E+05   361   444     3
    0.48694E+04    0.15053E+05   362   444     3
    0.49371E+04    0.15053E+05   363   444     3
    0.50057E+04    0.15053E+05   364   444     3
    0.50753E+04    0.15053E+05   365   444     3
    0.51458E+04    0.15053E+05   366   444     3
    0.52173E+04    0.15053E+05   367   444     3
    0.52897E+04    0.15053E+05   368   444     3
    0.53632E+04    0.15053E+05   369   444     3
    0.54377E+04    0.15053E+05   370   444     3
    0.55132E+04    0.15053E+05   371   444     3
    0.55898E+04    0.15053E+05   372   444     3
    0.56674E+04    0.15053E+05   373   444     3
    0.57460E+04    0.15053E+05   374   444     3
    0.58258E+04    0.15053E+05   375   444     3
    0.59067E+04    0.15053E+05   376   444     3
    0.59887E+04    0.15053E+05   377   444     3
    0.60718E+04    0.15053E+05   378   444     3
    0.61561E+04    0.15053E+05   379   444     3
    0.62415E+04    0.15053E+05   380   444     3
    0.63281E+04    0.15053E+05   381   444     3
    0.64159E+04    0.15053E+05   382   444     3
    0.65049E+04    0.15053E+05   383   444     3
    0.65951E+04    0.15053E+05   384   444     3
    0.66866E+04    0.15053E+05   385   444     3
    0.67794E+04    0.15053E+05   386   444     3
    0.68734E+04    0.15053E+05   387   444     3
    0.69687E+04    0.15053E+05   388   444     3
    0.70654E+04    0.15053E+05   389   444     3
    0.71634E+04    0.15053E+05   390   444     3
    0.72627E+04    0.15053E+05   391   444     3
    0.73634E+04    0.15053E+05   392   444     3
    0.74655E+04    0.15053E+05   393   444     3
    0.75690E+04    0.15053E+05   394   444     3
    0.76739E+04    0.15053E+05   395   444     3
    0.77803E+04    0.15053E+05   396   444     3
    0.78881E+04    0.15053E+05   397   444     3
    0.79974E+04    0.15053E+05   398   444     3
    0.81083E+04    0.15053E+05   399   444     3
    0.82206E+04    0.15053E+05   400   444     3
    0.83346E+04    0.15053E+05   401   444     3
    0.84500E+04    0.15053E+05   402   444     3
    0.85671E+04    0.15053E+05   403   444     3
    0.86858E+04    0.15053E+05   404   444     3
    0.88062E+04    0.15053E+05   405   444     3
    0.89282E+04    0.15053E+05   406   444     3
    0.90518E+04    0.15053E+05   407   444     3
    0.91772E+04    0.15053E+05   408   444     3
    0.93044E+04    0.15053E+05   409   444     3
    0.94332E+04    0.15053E+05   410   444     3
    0.95639E+04    0.15053E+05   411   444     3
    0.96963E+04    0.15053E+05   412   444     3
    0.98306E+04    0.15053E+05   413   444     3
    0.99668E+04    0.15053E+05   414   444     3
    0.10105E+05    0.15053E+05   415   444     3
    0.10245E+05    0.15053E+05   416   444     3
    0.10387E+05    0.15053E+05   417   444     3
    0.10530E+05    0.15053E+05   418   444     3
    0.10676E+05    0.15053E+05   419   444     3
    0.10824E+05    0.15053E+05   420   444     3
    0.10974E+05    0.15053E+05   421   444     3
    0.11126E+05    0.15053E+05   422   444     3
    0.11280E+05    0.15053E+05   423   444     3
    0.11436E+05    0.15053E+05   424   444     3
    0.11594E+05    0.15053E+05   425   444     3
    0.11755E+05    0.15053E+05   426   444     3
    0.11917E+05    0.15053E+05   427   444     3
    0.12082E+05    0.15053E+05   428   444     3
    0.12249E+05    0.15053E+05   429   444     3
    0.12419E+05    0.15053E+05   430   444     3
    0.12591E+05    0.15053E+05   431   444     3
    0.12765E+05    0.15053E+05   432   444     3
    0.12942E+05    0.15053E+05   433   444     3
    0.13121E+05    0.15053E+05   434   444     3
    0.13302E+05    0.15053E+05   435   444     3
    0.13486E+05    0.15053E+05   436   444     3
    0.13673E+05    0.15053E+05   437   444     3
    0.13862E+05    0.15053E+05   438   444     3
    0.14054E+05    0.15053E+05   439   444     3
    0.14248E+05    0.15053E+05   440   444     3
    0.14445E+05    0.15053E+05   441   444     3
    0.14645E+05    0.15053E+05   442   444     3
    0.14848E+05    0.15053E+05   443   444     3
    0.15053E+05    0.15053E+05   444   444     3
    0.15261E+05    0.15053E+05   445   444     3
    0.15472E+05    0.15053E+05   446   444     3
    0.15686E+05    0.15053E+05   447   444     3
    0.15903E+05    0.15053E+05   448   444     3
    0.16123E+05    0.15053E+05   449   444     3
    0.16346E+05    0.15053E+05   450   444     3
    0.16572E+05    0.15053E+05   451   444     3
    0.16801E+05    0.15053E+05   452   444     3
    0.17034E+05    0.15053E+05   453   444     3
    0.17269E+05    0.15053E+05   454   444     3
    0.17508E+05    0.15053E+05   455   444     3
    0.17750E+05    0.15053E+05   456   444     3
    0.17996E+05    0.15053E+05   457   444     3
    0.18244E+05    0.15053E+05   458   444     3
    0.18497E+05    0.15053E+05   459   444     3
    0.18752E+05    0.15053E+05   460   444     3
    0.19012E+05    0.15053E+05   461   444     3
    0.19275E+05    0.15053E+05   462   444     3
    0.19541E+05    0.15053E+05   463   444     3
    0.19811E+05    0.15053E+05   464   444     3
    0.20085E+05    0.15053E+05   465   444     3
    0.20363E+05    0.15053E+05   466   444     3
    0.20644E+05    0.15053E+05   467   444     3
    0.20929E+05    0.15053E+05   468   444     3
    0.21219E+05    0.15053E+05   469   444     3
    0.21512E+05    0.15053E+05   470   444     3
    0.21809E+05    0.15053E+05   471   444     3
    0.22111E+05    0.15053E+05   472   444     3
    0.22416E+05    0.15053E+05   473   444     3
    0.22726E+05    0.15053E+05   474   444     3
    0.23040E+05    0.15053E+05   475   444     3
    0.23359E+05    0.15053E+05   476   444     3
    0.23682E+05    0.15053E+05   477   444     3
    0.24009E+05    0.15053E+05   478   444     3
    0.24341E+05    0.15053E+05   479   444     3
    0.24677E+05    0.15053E+05   480   444     3
    0.25018E+05    0.15053E+05   481   444     3
    0.25364E+05    0.15053E+05   482   444     3
    0.25714E+05    0.15053E+05   483   444     3
    0.26070E+05    0.15053E+05   484   444     3
    0.26430E+05    0.15053E+05   485   444     3
    0.26795E+05    0.15053E+05   486   444     3
    0.27165E+05    0.15053E+05   487   444     3
    0.27541E+05    0.15053E+05   488   444     3
    0.27921E+05    0.15053E+05   489   444     3
    0.28307E+05    0.15053E+05   490   444     3
    0.28698E+05    0.15053E+05   491   444     3
    0.29095E+05    0.15053E+05   492   444     3
    0.29497E+05    0.15053E+05   493   444     3
    0.29904E+05    0.15053E+05   494   444     3
    0.30317E+05    0.15053E+05   495   444     3
    0.30736E+05    0.15053E+05   496   444     3
    0.31161E+05    0.15053E+05   497   444     3
    0.31591E+05    0.15053E+05   498   444     3
    0.32028E+05    0.15053E+05   499   444     3
    0.32470E+05    0.15053E+05   500   444     3
    0.32919E+05    0.15053E+05   501   444     3
    0.33373E+05    0.15053E+05   502   444     3
    0.33835E+05    0.15053E+05   503   444     3
    0.34302E+05    0.15053E+05   504   444     3
    0.34776E+05    0.15053E+05   505   444     3
    0.35256E+05    0.15053E+05   506   444     3
    0.35743E+05    0.15053E+05   507   444     3
    0.36237E+05    0.15053E+05   508   444     3
    0.36737E+05    0.15053E+05   509   444     3
    0.37245E+05    0.15053E+05   510   444     3
    0.37759E+05    0.15053E+05   511   444     3
    0.38281E+05    0.15053E+05   512   444     3
    0.38810E+05    0.15053E+05   513   444     3
    0.39346E+05    0.15053E+05   514   444     3
    0.39889E+05    0.15053E+05   515   444     3


    0.39889E+05    0.15686E+05   515   447     3
    0.39346E+05    0.15686E+05   514   447     3
    0.38810E+05    0.15686E+05   513   447     3
    0.38281E+05    0.15686E+05   512   447     3
    0.37759E+05    0.15686E+05   511   447     3
    0.37245E+05    0.15686E+05   510   447     3
    0.36737E+05    0.15686E+05   509   447     3
    0.36237E+05    0.15686E+05   508   447     3
    0.35743E+05    0.15686E+05   507   447     3
    0.35256E+05    0.15686E+05   506   447     3
    0.34776E+05    0.15686E+05   505   447     3
    0.34302E+05    0.15686E+05   504   447     3
    0.33835E+05    0.15686E+05   503   447     3
    0.33373E+05    0.15686E+05   502   447     3
    0.32919E+05    0.15686E+05   501   447     3
    0.32470E+05    0.15686E+05   500   447     3
    0.32028E+05    0.15686E+05   499   447     3
    0.31591E+05    0.15686E+05   498   447     3
    0.31161E+05    0.15686E+05   497   447     3
    0.30736E+05    0.15686E+05   496   447     3
    0.30317E+05    0.15686E+05   495   447     3
    0.29904E+05    0.15686E+05   494   447     3
    0.29497E+05    0.15686E+05   493   447     3
    0.29095E+05    0.15686E+05   492   447     3
    0.28698E+05    0.15686E+05   491   447     3
    0.28307E+05    0.15686E+05   490   447     3
    0.27921E+05    0.15686E+05   489   447     3
    0.27541E+05    0.15686E+05   488   447     3
    0.27165E+05    0.15686E+05   487   447     3
    0.26795E+05    0.15686E+05   486   447     3
    0.26430E+05    0.15686E+05   485   447     3
    0.26070E+05    0.15686E+05   484   447     3
    0.25714E+05    0.15686E+05   483   447     3
    0.25364E+05    0.15686E+05   482   447     3
    0.25018E+05    0.15686E+05   481   447     3
    0.24677E+05    0.15686E+05   480   447     3
    0.24341E+05    0.15686E+05   479   447     3
    0.24009E+05    0.15686E+05   478   447     3
    0.23682E+05    0.15686E+05   477   447     3
    0.23359E+05    0.15686E+05   476   447     3
    0.23040E+05    0.15686E+05   475   447     3
    0.22726E+05    0.15686E+05   474   447     3
    0.22416E+05    0.15686E+05   473   447     3
    0.22111E+05    0.15686E+05   472   447     3
    0.21809E+05    0.15686E+05   471   447     3
    0.21512E+05    0.15686E+05   470   447     3
    0.21219E+05    0.15686E+05   469   447     3
    0.20929E+05    0.15686E+05   468   447     3
    0.20644E+05    0.15686E+05   467   447     3
    0.20363E+05    0.15686E+05   466   447     3
    0.20085E+05    0.15686E+05   465   447     3
    0.19811E+05    0.15686E+05   464   447     3
    0.19541E+05    0.15686E+05   463   447     3
    0.19275E+05    0.15686E+05   462   447     3
    0.19012E+05    0.15686E+05   461   447     3
    0.18752E+05    0.15686E+05   460   447     3
    0.18497E+05    0.15686E+05   459   447     3
    0.18244E+05    0.15686E+05   458   447     3
    0.17996E+05    0.15686E+05   457   447     3
    0.17750E+05    0.15686E+05   456   447     3
    0.17508E+05    0.15686E+05   455   447     3
    0.17269E+05    0.15686E+05   454   447     3
    0.17034E+05    0.15686E+05   453   447     3
    0.16801E+05    0.15686E+05   452   447     3
    0.16572E+05    0.15686E+05   451   447     3
