  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.41112E+03    0.10814E+04   265   354     2
    0.41568E+03    0.10930E+04   266   355     2
    0.42030E+03    0.11048E+04   267   356     2
    0.42496E+03    0.11167E+04   268   357     2
    0.42967E+03    0.11288E+04   269   358     2
    0.43444E+03    0.11410E+04   270   359     2
    0.43925E+03    0.11533E+04   271   360     2
    0.44411E+03    0.11657E+04   272   361     2
    0.44903E+03    0.11783E+04   273   362     2
    0.45400E+03    0.11910E+04   274   363     2
    0.45902E+03    0.12038E+04   275   364     2
    0.46409E+03    0.12299E+04   276   366     2
    0.46922E+03    0.12431E+04   277   367     2
    0.47440E+03    0.12565E+04   278   368     2
    0.47964E+03    0.12700E+04   279   369     2
    0.48493E+03    0.12837E+04   280   370     2
    0.49028E+03    0.12975E+04   281   371     2
    0.49568E+03    0.13115E+04   282   372     2
    0.50115E+03    0.13256E+04   283   373     2
    0.50667E+03    0.13398E+04   284   374     2
    0.51224E+03    0.13542E+04   285   375     2
    0.51788E+03    0.13688E+04   286   376     2
    0.52358E+03    0.13835E+04   287   377     2
    0.52934E+03    0.13984E+04   288   378     2
    0.53516E+03    0.14134E+04   289   379     2
    0.54104E+03    0.14440E+04   290   381     2
    0.54698E+03    0.14595E+04   291   382     2
    0.55299E+03    0.14752E+04   292   383     2
    0.55906E+03    0.14910E+04   293   384     2
    0.56519E+03    0.15070E+04   294   385     2
    0.57139E+03    0.15232E+04   295   386     2
    0.57766E+03    0.15396E+04   296   387     2
    0.58399E+03    0.15561E+04   297   388     2
    0.59038E+03    0.15728E+04   298   389     2
    0.59685E+03    0.15897E+04   299   390     2
    0.60339E+03    0.16067E+04   300   391     2
    0.60999E+03    0.16240E+04   301   392     2
    0.61666E+03    0.16414E+04   302   393     2
    0.62341E+03    0.16590E+04   303   394     2
    0.63022E+03    0.16768E+04   304   395     2
    0.63711E+03    0.16948E+04   305   396     2
    0.64407E+03    0.17129E+04   306   397     2
    0.65111E+03    0.17313E+04   307   398     2
    0.65822E+03    0.17686E+04   308   400     2
    0.66541E+03    0.17876E+04   309   401     2
    0.67267E+03    0.18067E+04   310   402     2
    0.68001E+03    0.18261E+04   311   403     2
    0.68742E+03    0.18457E+04   312   404     2
    0.69492E+03    0.18654E+04   313   405     2
    0.70249E+03    0.18854E+04   314   406     2
    0.71015E+03    0.19056E+04   315   407     2
    0.71788E+03    0.19260E+04   316   408     2
    0.72570E+03    0.19466E+04   317   409     2
    0.73360E+03    0.19675E+04   318   410     2
    0.74158E+03    0.19886E+04   319   411     2
    0.74965E+03    0.20098E+04   320   412     2
    0.75781E+03    0.20314E+04   321   413     2
    0.76605E+03    0.20531E+04   322   414     2
    0.77438E+03    0.20751E+04   323   415     2
    0.78279E+03    0.20973E+04   324   416     2
    0.79130E+03    0.21197E+04   325   417     2
    0.79989E+03    0.21424E+04   326   418     2
    0.80858E+03    0.21653E+04   327   419     2
    0.81736E+03    0.21885E+04   328   420     2
    0.82623E+03    0.22355E+04   329   422     2
    0.83520E+03    0.22594E+04   330   423     2
    0.84426E+03    0.22836E+04   331   424     2
    0.85342E+03    0.23080E+04   332   425     2
    0.86267E+03    0.23327E+04   333   426     2
    0.87202E+03    0.23576E+04   334   427     2
    0.88148E+03    0.23828E+04   335   428     2
    0.89103E+03    0.24083E+04   336   429     2
    0.90068E+03    0.24340E+04   337   430     2
    0.91044E+03    0.24600E+04   338   431     2
    0.92029E+03    0.24863E+04   339   432     2
    0.93026E+03    0.25129E+04   340   433     2
    0.94033E+03    0.25397E+04   341   434     2
    0.95050E+03    0.25668E+04   342   435     2
    0.96079E+03    0.25943E+04   343   436     2
    0.97118E+03    0.26220E+04   344   437     2
    0.98168E+03    0.26500E+04   345   438     2
    0.99229E+03    0.26783E+04   346   439     2
    0.10030E+04    0.27069E+04   347   440     2
    0.10139E+04    0.27358E+04   348   441     2
    0.10248E+04    0.27650E+04   349   442     2
    0.10359E+04    0.27945E+04   350   443     2
    0.10471E+04    0.28243E+04   351   444     2
    0.10584E+04    0.28545E+04   352   445     2
    0.10698E+04    0.28849E+04   353   446     2
    0.10814E+04    0.29157E+04   354   447     2
    0.10930E+04    0.29468E+04   355   448     2
    0.11048E+04    0.29783E+04   356   449     2
    0.11167E+04    0.30422E+04   357   451     2
    0.11288E+04    0.30746E+04   358   452     2
    0.11410E+04    0.31074E+04   359   453     2
    0.11533E+04    0.31406E+04   360   454     2
    0.11657E+04    0.31741E+04   361   455     2
    0.11783E+04    0.32079E+04   362   456     2
    0.11910E+04    0.32421E+04   363   457     2
    0.12038E+04    0.32767E+04   364   458     2
    0.12168E+04    0.33116E+04   365   459     2
    0.12299E+04    0.33470E+04   366   460     2
    0.12431E+04    0.33826E+04   367   461     2
    0.12565E+04    0.34187E+04   368   462     2
    0.12700E+04    0.34551E+04   369   463     2
    0.12837E+04    0.34920E+04   370   464     2
    0.12975E+04    0.35292E+04   371   465     2
    0.13115E+04    0.35668E+04   372   466     2
    0.13256E+04    0.36048E+04   373   467     2
    0.13398E+04    0.36433E+04   374   468     2
    0.13542E+04    0.36821E+04   375   469     2
    0.13688E+04    0.37213E+04   376   470     2
    0.13835E+04    0.37610E+04   377   471     2
    0.13984E+04    0.38011E+04   378   472     2
    0.14134E+04    0.38415E+04   379   473     2
    0.14286E+04    0.38825E+04   380   474     2
    0.14440E+04    0.39238E+04   381   475     2
    0.14595E+04    0.39656E+04   382   476     2
    0.14752E+04    0.40079E+04   383   477     2
    0.14910E+04    0.40506E+04   384   478     2
    0.15070E+04    0.40937E+04   385   479     2
    0.15232E+04    0.41373E+04   386   480     2
    0.15396E+04    0.41814E+04   387   481     2
    0.15561E+04    0.42259E+04   388   482     2
    0.15728E+04    0.42709E+04   389   483     2
    0.15897E+04    0.43164E+04   390   484     2
    0.16067E+04    0.43624E+04   391   485     2
    0.16240E+04    0.44088E+04   392   486     2
    0.16414E+04    0.44558E+04   393   487     2
    0.16590E+04    0.45032E+04   394   488     2
    0.16768E+04    0.45511E+04   395   489     2
    0.16948E+04    0.45996E+04   396   490     2
    0.17129E+04    0.46980E+04   397   492     2
    0.17313E+04    0.47480E+04   398   493     2
    0.17499E+04    0.47986E+04   399   494     2
    0.17686E+04    0.48496E+04   400   495     2
    0.17876E+04    0.49013E+04   401   496     2
    0.18067E+04    0.49534E+04   402   497     2
    0.18261E+04    0.50061E+04   403   498     2
    0.18457E+04    0.50594E+04   404   499     2
    0.18654E+04    0.51133E+04   405   500     2
    0.18854E+04    0.51677E+04   406   501     2
    0.19056E+04    0.52226E+04   407   502     2
    0.19260E+04    0.52782E+04   408   503     2
    0.19466E+04    0.53344E+04   409   504     2
    0.19675E+04    0.53911E+04   410   505     2
    0.19886E+04    0.54485E+04   411   506     2
    0.20098E+04    0.55064E+04   412   507     2
    0.20314E+04    0.55650E+04   413   508     2
    0.20531E+04    0.56242E+04   414   509     2
    0.20751E+04    0.56840E+04   415   510     2
    0.20973E+04    0.57445E+04   416   511     2
    0.21197E+04    0.58056E+04   417   512     2
    0.21424E+04    0.58673E+04   418   513     2
    0.21653E+04    0.59297E+04   419   514     2
    0.21885E+04    0.59928E+04   420   515     2
    0.22119E+04    0.60565E+04   421   516     2
    0.22355E+04    0.61209E+04   422   517     2
    0.22594E+04    0.61860E+04   423   518     2
    0.22836E+04    0.62518E+04   424   519     2
    0.23080E+04    0.63183E+04   425   520     2
    0.23327E+04    0.63855E+04   426   521     2
    0.23576E+04    0.64534E+04   427   522     2
    0.23828E+04    0.65220E+04   428   523     2
    0.24083E+04    0.65913E+04   429   524     2
    0.24340E+04    0.66614E+04   430   525     2
    0.24600E+04    0.67322E+04   431   526     2
    0.24863E+04    0.68038E+04   432   527     2
    0.25129E+04    0.68761E+04   433   528     2
    0.25397E+04    0.69492E+04   434   529     2
    0.25668E+04    0.70231E+04   435   530     2
    0.25943E+04    0.70977E+04   436   531     2
    0.26220E+04    0.71732E+04   437   532     2
    0.26500E+04    0.72494E+04   438   533     2
    0.26783E+04    0.73265E+04   439   534     2
    0.27069E+04    0.74043E+04   440   535     2
    0.27358E+04    0.74830E+04   441   536     2
    0.27650E+04    0.75626E+04   442   537     2
    0.27945E+04    0.76429E+04   443   538     2
    0.28243E+04    0.77242E+04   444   539     2
    0.28545E+04    0.78062E+04   445   540     2
    0.28849E+04    0.78892E+04   446   541     2
    0.29157E+04    0.79730E+04   447   542     2
    0.29468E+04    0.80578E+04   448   543     2
    0.29783E+04    0.81434E+04   449   544     2
    0.30100E+04    0.82299E+04   450   545     2
    0.30422E+04    0.83174E+04   451   546     2
    0.30746E+04    0.84057E+04   452   547     2
    0.31074E+04    0.84950E+04   453   548     2
    0.31406E+04    0.85853E+04   454   549     2
    0.31741E+04    0.86765E+04   455   550     2
    0.32079E+04    0.87687E+04   456   551     2
    0.32421E+04    0.88618E+04   457   552     2
    0.32767E+04    0.89560E+04   458   553     2
    0.33116E+04    0.90511E+04   459   554     2
    0.33470E+04    0.91473E+04   460   555     2
    0.33826E+04    0.92444E+04   461   556     2
    0.34187E+04    0.93426E+04   462   557     2
    0.34551E+04    0.94419E+04   463   558     2
    0.34920E+04    0.95422E+04   464   559     2
    0.35292E+04    0.96435E+04   465   560     2
    0.35668E+04    0.97460E+04   466   561     2
    0.36048E+04    0.98495E+04   467   562     2
    0.36433E+04    0.99541E+04   468   563     2
    0.36821E+04    0.10060E+05   469   564     2
    0.37213E+04    0.10167E+05   470   565     2
    0.37610E+04    0.10384E+05   471   567     2
    0.38011E+04    0.10494E+05   472   568     2
    0.38415E+04    0.10605E+05   473   569     2
    0.38825E+04    0.10718E+05   474   570     2
    0.39238E+04    0.10832E+05   475   571     2
    0.39656E+04    0.10947E+05   476   572     2
    0.40079E+04    0.11063E+05   477   573     2
    0.40506E+04    0.11181E+05   478   574     2
    0.40937E+04    0.11299E+05   479   575     2
    0.41373E+04    0.11419E+05   480   576     2
    0.41814E+04    0.11541E+05   481   577     2
    0.42259E+04    0.11663E+05   482   578     2
    0.42709E+04    0.11787E+05   483   579     2
    0.43164E+04    0.11912E+05   484   580     2
    0.43624E+04    0.12039E+05   485   581     2
    0.44088E+04    0.12166E+05   486   582     2
    0.44558E+04    0.12296E+05   487   583     2
    0.45032E+04    0.12426E+05   488   584     2
    0.45511E+04    0.12558E+05   489   585     2
    0.45996E+04    0.12691E+05   490   586     2
    0.46485E+04    0.12826E+05   491   587     2
    0.46980E+04    0.12962E+05   492   588     2
    0.47480E+04    0.13100E+05   493   589     2
    0.47986E+04    0.13239E+05   494   590     2
    0.48496E+04    0.13380E+05   495   591     2
    0.49013E+04    0.13522E+05   496   592     2
    0.49534E+04    0.13665E+05   497   593     2
    0.50061E+04    0.13810E+05   498   594     2
    0.50594E+04    0.13957E+05   499   595     2
    0.51133E+04    0.14105E+05   500   596     2
    0.51677E+04    0.14255E+05   501   597     2
    0.52226E+04    0.14406E+05   502   598     2
    0.52782E+04    0.14559E+05   503   599     2
    0.53344E+04    0.14713E+05   504   600     2
    0.53911E+04    0.14870E+05   505   601     2
    0.54485E+04    0.15027E+05   506   602     2
    0.55064E+04    0.15027E+05   507   602     3
    0.55650E+04    0.15027E+05   508   602     3
    0.56242E+04    0.15027E+05   509   602     3
    0.56840E+04    0.15027E+05   510   602     3
    0.57445E+04    0.15027E+05   511   602     3
    0.58056E+04    0.15027E+05   512   602     3
    0.58673E+04    0.15027E+05   513   602     3
    0.59297E+04    0.15027E+05   514   602     3
    0.59928E+04    0.15027E+05   515   602     3
    0.60565E+04    0.15027E+05   516   602     3
    0.61209E+04    0.15027E+05   517   602     3
    0.61860E+04    0.15027E+05   518   602     3
    0.62518E+04    0.15027E+05   519   602     3
    0.63183E+04    0.15027E+05   520   602     3
    0.63855E+04    0.15027E+05   521   602     3
    0.64534E+04    0.15027E+05   522   602     3
    0.65220E+04    0.15027E+05   523   602     3
    0.65913E+04    0.15027E+05   524   602     3
    0.66614E+04    0.15027E+05   525   602     3
    0.67322E+04    0.15027E+05   526   602     3
    0.68038E+04    0.15027E+05   527   602     3
    0.68761E+04    0.15027E+05   528   602     3
    0.69492E+04    0.15027E+05   529   602     3
    0.70231E+04    0.15027E+05   530   602     3
    0.70977E+04    0.15027E+05   531   602     3
    0.71732E+04    0.15027E+05   532   602     3
    0.72494E+04    0.15027E+05   533   602     3
    0.73265E+04    0.15027E+05   534   602     3
    0.74043E+04    0.15027E+05   535   602     3
    0.74830E+04    0.15027E+05   536   602     3
    0.75626E+04    0.15027E+05   537   602     3
    0.76429E+04    0.15027E+05   538   602     3
    0.77242E+04    0.15027E+05   539   602     3
    0.78062E+04    0.15027E+05   540   602     3
    0.78892E+04    0.15027E+05   541   602     3
    0.79730E+04    0.15027E+05   542   602     3
    0.80578E+04    0.15027E+05   543   602     3
    0.81434E+04    0.15027E+05   544   602     3
    0.82299E+04    0.15027E+05   545   602     3
    0.83174E+04    0.15027E+05   546   602     3
    0.84057E+04    0.15027E+05   547   602     3
    0.84950E+04    0.15027E+05   548   602     3
    0.85853E+04    0.15027E+05   549   602     3
    0.86765E+04    0.15027E+05   550   602     3
    0.87687E+04    0.15027E+05   551   602     3
    0.88618E+04    0.15027E+05   552   602     3
    0.89560E+04    0.15027E+05   553   602     3
    0.90511E+04    0.15027E+05   554   602     3
    0.91473E+04    0.15027E+05   555   602     3
    0.92444E+04    0.15027E+05   556   602     3
    0.93426E+04    0.15027E+05   557   602     3
    0.94419E+04    0.15027E+05   558   602     3
    0.95422E+04    0.15027E+05   559   602     3
    0.96435E+04    0.15027E+05   560   602     3
    0.97460E+04    0.15027E+05   561   602     3
    0.98495E+04    0.15027E+05   562   602     3
    0.99541E+04    0.15027E+05   563   602     3
    0.10060E+05    0.15027E+05   564   602     3
    0.10167E+05    0.15027E+05   565   602     3
    0.10275E+05    0.15027E+05   566   602     3
    0.10384E+05    0.15027E+05   567   602     3
    0.10494E+05    0.15027E+05   568   602     3
    0.10605E+05    0.15027E+05   569   602     3
    0.10718E+05    0.15027E+05   570   602     3
    0.10832E+05    0.15027E+05   571   602     3
    0.10947E+05    0.15027E+05   572   602     3
    0.11063E+05    0.15027E+05   573   602     3
    0.11181E+05    0.15027E+05   574   602     3
    0.11299E+05    0.15027E+05   575   602     3
    0.11419E+05    0.15027E+05   576   602     3
    0.11541E+05    0.15027E+05   577   602     3
    0.11663E+05    0.15027E+05   578   602     3
    0.11787E+05    0.15027E+05   579   602     3
    0.11912E+05    0.15027E+05   580   602     3
    0.12039E+05    0.15027E+05   581   602     3
    0.12166E+05    0.15027E+05   582   602     3
    0.12296E+05    0.15027E+05   583   602     3
    0.12426E+05    0.15027E+05   584   602     3
    0.12558E+05    0.15027E+05   585   602     3
    0.12691E+05    0.15027E+05   586   602     3
    0.12826E+05    0.15027E+05   587   602     3
    0.12962E+05    0.15027E+05   588   602     3
    0.13100E+05    0.15027E+05   589   602     3
    0.13239E+05    0.15027E+05   590   602     3
    0.13380E+05    0.15027E+05   591   602     3
    0.13522E+05    0.15027E+05   592   602     3
    0.13665E+05    0.15027E+05   593   602     3
    0.13810E+05    0.15027E+05   594   602     4
    0.13957E+05    0.15187E+05   595   603     4
    0.14105E+05    0.15187E+05   596   603     4
    0.14105E+05    0.16010E+05   596   608     4
    0.13957E+05    0.16010E+05   595   608     4
    0.13810E+05    0.16010E+05   594   608     4
    0.13665E+05    0.16010E+05   593   608     3
    0.13522E+05    0.16010E+05   592   608     3
