  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.51497E+03    0.18195E+04   306   420     2
    0.52071E+03    0.18397E+04   307   421     2
    0.52652E+03    0.18602E+04   308   422     2
    0.53240E+03    0.18808E+04   309   423     2
    0.53834E+03    0.19017E+04   310   424     2
    0.54434E+03    0.19229E+04   311   425     2
    0.55042E+03    0.19443E+04   312   426     2
    0.55656E+03    0.19659E+04   313   427     2
    0.56276E+03    0.19877E+04   314   428     2
    0.56904E+03    0.20098E+04   315   429     2
    0.57539E+03    0.20547E+04   316   431     2
    0.58181E+03    0.20776E+04   317   432     2
    0.58829E+03    0.21007E+04   318   433     2
    0.59485E+03    0.21240E+04   319   434     2
    0.60149E+03    0.21476E+04   320   435     2
    0.60819E+03    0.21715E+04   321   436     2
    0.61497E+03    0.21956E+04   322   437     2
    0.62183E+03    0.22200E+04   323   438     2
    0.62876E+03    0.22447E+04   324   439     2
    0.63577E+03    0.22696E+04   325   440     2
    0.64286E+03    0.22949E+04   326   441     2
    0.65003E+03    0.23204E+04   327   442     2
    0.65727E+03    0.23462E+04   328   443     2
    0.66460E+03    0.23722E+04   329   444     2
    0.67200E+03    0.23986E+04   330   445     2
    0.67949E+03    0.24252E+04   331   446     2
    0.68707E+03    0.24522E+04   332   447     2
    0.69472E+03    0.24794E+04   333   448     2
    0.70246E+03    0.25348E+04   334   450     2
    0.71029E+03    0.25630E+04   335   451     2
    0.71821E+03    0.25915E+04   336   452     2
    0.72621E+03    0.26203E+04   337   453     2
    0.73430E+03    0.26494E+04   338   454     2
    0.74248E+03    0.26788E+04   339   455     2
    0.75075E+03    0.27086E+04   340   456     2
    0.75912E+03    0.27387E+04   341   457     2
    0.76757E+03    0.27691E+04   342   458     2
    0.77612E+03    0.27999E+04   343   459     2
    0.78477E+03    0.28310E+04   344   460     2
    0.79351E+03    0.28625E+04   345   461     2
    0.80235E+03    0.28943E+04   346   462     2
    0.81128E+03    0.29264E+04   347   463     2
    0.82032E+03    0.29589E+04   348   464     2
    0.82945E+03    0.29918E+04   349   465     2
    0.83869E+03    0.30251E+04   350   466     2
    0.84803E+03    0.30587E+04   351   467     2
    0.85747E+03    0.30926E+04   352   468     2
    0.86702E+03    0.31270E+04   353   469     2
    0.87668E+03    0.31617E+04   354   470     2
    0.88644E+03    0.31969E+04   355   471     2
    0.89631E+03    0.32324E+04   356   472     2
    0.90629E+03    0.32683E+04   357   473     2
    0.91638E+03    0.33413E+04   358   475     2
    0.92658E+03    0.33784E+04   359   476     2
    0.93689E+03    0.34160E+04   360   477     2
    0.94732E+03    0.34539E+04   361   478     2
    0.95787E+03    0.34923E+04   362   479     2
    0.96853E+03    0.35311E+04   363   480     2
    0.97931E+03    0.35703E+04   364   481     2
    0.99021E+03    0.36100E+04   365   482     2
    0.10012E+04    0.36501E+04   366   483     2
    0.10124E+04    0.36906E+04   367   484     2
    0.10236E+04    0.37316E+04   368   485     2
    0.10350E+04    0.37731E+04   369   486     2
    0.10466E+04    0.38150E+04   370   487     2
    0.10582E+04    0.38573E+04   371   488     2
    0.10700E+04    0.39002E+04   372   489     2
    0.10819E+04    0.39435E+04   373   490     2
    0.10939E+04    0.39873E+04   374   491     2
    0.11061E+04    0.40316E+04   375   492     2
    0.11184E+04    0.40764E+04   376   493     2
    0.11309E+04    0.41217E+04   377   494     2
    0.11434E+04    0.41674E+04   378   495     2
    0.11562E+04    0.42137E+04   379   496     2
    0.11690E+04    0.42605E+04   380   497     2
    0.11820E+04    0.43079E+04   381   498     2
    0.11952E+04    0.43557E+04   382   499     2
    0.12085E+04    0.44041E+04   383   500     2
    0.12219E+04    0.44530E+04   384   501     2
    0.12355E+04    0.45025E+04   385   502     2
    0.12493E+04    0.45525E+04   386   503     2
    0.12632E+04    0.46030E+04   387   504     2
    0.12772E+04    0.46541E+04   388   505     2
    0.12914E+04    0.47058E+04   389   506     2
    0.13058E+04    0.48109E+04   390   508     2
    0.13203E+04    0.48644E+04   391   509     2
    0.13350E+04    0.49184E+04   392   510     2
    0.13498E+04    0.49730E+04   393   511     2
    0.13648E+04    0.50283E+04   394   512     2
    0.13800E+04    0.50841E+04   395   513     2
    0.13954E+04    0.51406E+04   396   514     2
    0.14109E+04    0.51977E+04   397   515     2
    0.14266E+04    0.52554E+04   398   516     2
    0.14424E+04    0.53137E+04   399   517     2
    0.14585E+04    0.53728E+04   400   518     2
    0.14747E+04    0.54324E+04   401   519     2
    0.14911E+04    0.54928E+04   402   520     2
    0.15077E+04    0.55538E+04   403   521     2
    0.15245E+04    0.56154E+04   404   522     2
    0.15414E+04    0.56778E+04   405   523     2
    0.15585E+04    0.57408E+04   406   524     2
    0.15759E+04    0.58046E+04   407   525     2
    0.15934E+04    0.58691E+04   408   526     2
    0.16111E+04    0.59342E+04   409   527     2
    0.16290E+04    0.60001E+04   410   528     2
    0.16471E+04    0.60668E+04   411   529     2
    0.16655E+04    0.61341E+04   412   530     2
    0.16840E+04    0.62023E+04   413   531     2
    0.17027E+04    0.62711E+04   414   532     2
    0.17216E+04    0.63408E+04   415   533     2
    0.17408E+04    0.64112E+04   416   534     2
    0.17601E+04    0.64824E+04   417   535     2
    0.17797E+04    0.65544E+04   418   536     2
    0.17995E+04    0.66272E+04   419   537     2
    0.18195E+04    0.67007E+04   420   538     2
    0.18397E+04    0.67752E+04   421   539     2
    0.18602E+04    0.68504E+04   422   540     2
    0.18808E+04    0.69265E+04   423   541     2
    0.19017E+04    0.70034E+04   424   542     2
    0.19229E+04    0.70811E+04   425   543     2
    0.19443E+04    0.71598E+04   426   544     2
    0.19659E+04    0.72393E+04   427   545     2
    0.19877E+04    0.73197E+04   428   546     2
    0.20098E+04    0.74009E+04   429   547     2
    0.20321E+04    0.74831E+04   430   548     2
    0.20547E+04    0.75662E+04   431   549     2
    0.20776E+04    0.76502E+04   432   550     2
    0.21007E+04    0.77352E+04   433   551     2
    0.21240E+04    0.78211E+04   434   552     2
    0.21476E+04    0.79079E+04   435   553     2
    0.21715E+04    0.79957E+04   436   554     2
    0.21956E+04    0.80845E+04   437   555     2
    0.22200E+04    0.81743E+04   438   556     2
    0.22447E+04    0.82650E+04   439   557     2
    0.22696E+04    0.83568E+04   440   558     2
    0.22949E+04    0.85434E+04   441   560     2
    0.23204E+04    0.86383E+04   442   561     2
    0.23462E+04    0.87342E+04   443   562     2
    0.23722E+04    0.88312E+04   444   563     2
    0.23986E+04    0.89292E+04   445   564     2
    0.24252E+04    0.90284E+04   446   565     2
    0.24522E+04    0.91286E+04   447   566     2
    0.24794E+04    0.92300E+04   448   567     2
    0.25070E+04    0.93325E+04   449   568     2
    0.25348E+04    0.94361E+04   450   569     2
    0.25630E+04    0.95408E+04   451   570     2
    0.25915E+04    0.96468E+04   452   571     2
    0.26203E+04    0.97539E+04   453   572     2
    0.26494E+04    0.98622E+04   454   573     2
    0.26788E+04    0.99717E+04   455   574     2
    0.27086E+04    0.10082E+05   456   575     2
    0.27387E+04    0.10194E+05   457   576     2
    0.27691E+04    0.10308E+05   458   577     2
    0.27999E+04    0.10422E+05   459   578     2
    0.28310E+04    0.10538E+05   460   579     2
    0.28625E+04    0.10655E+05   461   580     2
    0.28943E+04    0.10773E+05   462   581     2
    0.29264E+04    0.10893E+05   463   582     2
    0.29589E+04    0.11014E+05   464   583     2
    0.29918E+04    0.11136E+05   465   584     2
    0.30251E+04    0.11259E+05   466   585     2
    0.30587E+04    0.11384E+05   467   586     2
    0.30926E+04    0.11511E+05   468   587     2
    0.31270E+04    0.11639E+05   469   588     2
    0.31617E+04    0.11768E+05   470   589     2
    0.31969E+04    0.11899E+05   471   590     2
    0.32324E+04    0.12031E+05   472   591     2
    0.32683E+04    0.12164E+05   473   592     2
    0.33046E+04    0.12299E+05   474   593     2
    0.33413E+04    0.12436E+05   475   594     2
    0.33784E+04    0.12574E+05   476   595     2
    0.34160E+04    0.12713E+05   477   596     2
    0.34539E+04    0.12855E+05   478   597     2
    0.34923E+04    0.12997E+05   479   598     2
    0.35311E+04    0.13142E+05   480   599     2
    0.35703E+04    0.13288E+05   481   600     2
    0.36100E+04    0.13435E+05   482   601     2
    0.36501E+04    0.13584E+05   483   602     2
    0.36906E+04    0.13735E+05   484   603     2
    0.37316E+04    0.13888E+05   485   604     2
    0.37731E+04    0.14042E+05   486   605     2
    0.38150E+04    0.14198E+05   487   606     2
    0.38573E+04    0.14355E+05   488   607     2
    0.39002E+04    0.14515E+05   489   608     2
    0.39435E+04    0.14676E+05   490   609     2
    0.39873E+04    0.14839E+05   491   610     2
    0.40316E+04    0.15003E+05   492   611     2
    0.40764E+04    0.15003E+05   493   611     3
    0.41217E+04    0.15003E+05   494   611     3
    0.41674E+04    0.15003E+05   495   611     3
    0.42137E+04    0.15003E+05   496   611     3
    0.42605E+04    0.15003E+05   497   611     3
    0.43079E+04    0.15003E+05   498   611     3
    0.43557E+04    0.15003E+05   499   611     3
    0.44041E+04    0.15003E+05   500   611     3
    0.44530E+04    0.15003E+05   501   611     3
    0.45025E+04    0.15003E+05   502   611     3
    0.45525E+04    0.15003E+05   503   611     3
    0.46030E+04    0.15003E+05   504   611     3
    0.46541E+04    0.15003E+05   505   611     3
    0.47058E+04    0.15003E+05   506   611     3
    0.47581E+04    0.15003E+05   507   611     3
    0.48109E+04    0.15003E+05   508   611     3
    0.48644E+04    0.15003E+05   509   611     3
    0.49184E+04    0.15003E+05   510   611     3
    0.49730E+04    0.15003E+05   511   611     3
    0.50283E+04    0.15003E+05   512   611     3
    0.50841E+04    0.15003E+05   513   611     3
    0.51406E+04    0.15003E+05   514   611     3
    0.51977E+04    0.15003E+05   515   611     3
    0.52554E+04    0.15003E+05   516   611     3
    0.53137E+04    0.15003E+05   517   611     3
    0.53728E+04    0.15003E+05   518   611     3
    0.54324E+04    0.15003E+05   519   611     3
    0.54928E+04    0.15003E+05   520   611     3
    0.55538E+04    0.15003E+05   521   611     3
    0.56154E+04    0.15003E+05   522   611     3
    0.56778E+04    0.15003E+05   523   611     3
    0.57408E+04    0.15003E+05   524   611     3
    0.58046E+04    0.15003E+05   525   611     3
    0.58691E+04    0.15003E+05   526   611     3
    0.59342E+04    0.15003E+05   527   611     3
    0.60001E+04    0.15003E+05   528   611     3
    0.60668E+04    0.15003E+05   529   611     3
    0.61341E+04    0.15003E+05   530   611     3
    0.62023E+04    0.15003E+05   531   611     3
    0.62711E+04    0.15003E+05   532   611     3
    0.63408E+04    0.15003E+05   533   611     3
    0.64112E+04    0.15003E+05   534   611     3
    0.64824E+04    0.15003E+05   535   611     3
    0.65544E+04    0.15003E+05   536   611     3
    0.66272E+04    0.15003E+05   537   611     3
    0.67007E+04    0.15003E+05   538   611     3
    0.67752E+04    0.15003E+05   539   611     3
    0.68504E+04    0.15003E+05   540   611     3
    0.69265E+04    0.15003E+05   541   611     3
    0.70034E+04    0.15003E+05   542   611     3
    0.70811E+04    0.15003E+05   543   611     3
    0.71598E+04    0.15003E+05   544   611     3
    0.72393E+04    0.15003E+05   545   611     3
    0.73197E+04    0.15003E+05   546   611     3
    0.74009E+04    0.15003E+05   547   611     3
    0.74831E+04    0.15003E+05   548   611     3
    0.75662E+04    0.15003E+05   549   611     3
    0.76502E+04    0.15003E+05   550   611     3
    0.77352E+04    0.15003E+05   551   611     3
    0.78211E+04    0.15003E+05   552   611     3
    0.79079E+04    0.15003E+05   553   611     3
    0.79957E+04    0.15003E+05   554   611     3
    0.80845E+04    0.15003E+05   555   611     3
    0.81743E+04    0.15003E+05   556   611     3
    0.82650E+04    0.15003E+05   557   611     3
    0.83568E+04    0.15003E+05   558   611     3
    0.84496E+04    0.15003E+05   559   611     3
    0.85434E+04    0.15003E+05   560   611     3
    0.86383E+04    0.15003E+05   561   611     3
    0.87342E+04    0.15003E+05   562   611     3
    0.88312E+04    0.15003E+05   563   611     3
    0.89292E+04    0.15003E+05   564   611     3
    0.90284E+04    0.15003E+05   565   611     3
    0.91286E+04    0.15003E+05   566   611     3
    0.92300E+04    0.15003E+05   567   611     3
    0.93325E+04    0.15003E+05   568   611     3
    0.94361E+04    0.15003E+05   569   611     3
    0.95408E+04    0.15003E+05   570   611     3
    0.96468E+04    0.15003E+05   571   611     3
    0.97539E+04    0.15003E+05   572   611     3
    0.98622E+04    0.15003E+05   573   611     3
    0.99717E+04    0.15003E+05   574   611     3
    0.10082E+05    0.15003E+05   575   611     3
    0.10194E+05    0.15003E+05   576   611     3
    0.10308E+05    0.15003E+05   577   611     3
    0.10422E+05    0.15003E+05   578   611     3
    0.10538E+05    0.15003E+05   579   611     3
    0.10655E+05    0.15003E+05   580   611     3
    0.10773E+05    0.15003E+05   581   611     3
    0.10893E+05    0.15003E+05   582   611     3
    0.11014E+05    0.15003E+05   583   611     3
    0.11136E+05    0.15003E+05   584   611     3
    0.11259E+05    0.15003E+05   585   611     3
    0.11384E+05    0.15003E+05   586   611     3
    0.11511E+05    0.15003E+05   587   611     3
    0.11639E+05    0.15003E+05   588   611     3
    0.11768E+05    0.15003E+05   589   611     3
    0.11899E+05    0.15003E+05   590   611     3
    0.12031E+05    0.15003E+05   591   611     3
    0.12164E+05    0.15003E+05   592   611     3
    0.12299E+05    0.15003E+05   593   611     3
    0.12436E+05    0.15003E+05   594   611     3
    0.12574E+05    0.15003E+05   595   611     3
    0.12713E+05    0.15003E+05   596   611     3
    0.12855E+05    0.15003E+05   597   611     3
    0.12997E+05    0.15003E+05   598   611     3
    0.13142E+05    0.15003E+05   599   611     3
    0.13288E+05    0.15003E+05   600   611     3
    0.13435E+05    0.15003E+05   601   611     3
